domain_size,pns_time
2,0.03632807731628418
3,0.02667999267578125
4,0.028718233108520508
5,0.02883315086364746
6,0.0292510986328125
7,0.03176283836364746
8,0.03910183906555176
9,0.03548288345336914
10,0.0388948917388916
11,0.04876708984375
12,0.0700840950012207
13,0.06125998497009277
14,0.09001398086547852
15,0.10184097290039062
16,0.11842727661132812
17,0.15287303924560547
18,0.17356324195861816
19,0.20299482345581055
20,0.25988316535949707
21,0.2967362403869629
22,0.35411787033081055
23,0.425861120223999
24,0.4893770217895508
25,0.5994889736175537
26,0.7048420906066895
27,0.8388650417327881
28,0.9755041599273682
29,1.1336326599121094
30,1.3104312419891357
31,1.5682897567749023
32,1.8096199035644531
33,2.092648983001709
34,2.423583984375
35,2.8234341144561768
